Date(Yr3),Close(Yr3),Date(Yr4),Close(Yr4)
20210401,1.38332,20220403,1.31039
20210404,1.38298,20220404,1.31123
20210405,1.39121,20220405,1.30763
20210406,1.38297,20220406,1.30688
20210407,1.37412,20220407,1.30684
20210408,1.3733,20220410,1.30295
20210411,1.37076,20220411,1.30223
20210412,1.37532,20220412,1.30014
20210413,1.37586,20220413,1.31182
20210414,1.37775,20220414,1.30639
20210415,1.37831,20220417,1.30566
20210418,1.38173,20220418,1.30073
20210419,1.39911,20220419,1.30135
20210420,1.39375,20220420,1.30678
20210421,1.39308,20220421,1.30241
20210422,1.38386,20220424,1.28278
20210425,1.38644,20220425,1.27371
20210426,1.38943,20220426,1.25811
20210427,1.39027,20220427,1.25393
20210428,1.39539,20220428,1.24644
20210429,1.395,20220501,1.25699
20210502,1.38183,20220502,1.24991
20210503,1.39028,20220503,1.24981
20210504,1.38869,20220504,1.26161
20210505,1.39083,20220505,1.2362
20210506,1.38953,20220508,1.23252
20210509,1.40402,20220509,1.23355
20210510,1.41306,20220510,1.23068
20210511,1.41352,20220511,1.22332
20210512,1.40619,20220512,1.22042
20210513,1.40457,20220515,1.22566
20210516,1.41006,20220516,1.23254
20210517,1.41475,20220517,1.24867
20210518,1.41869,20220518,1.23437
20210519,1.41069,20220519,1.24624
20210520,1.41846,20220522,1.25032
20210523,1.41398,20220523,1.25669
20210524,1.41548,20220524,1.25409
20210525,1.41424,20220525,1.25856
20210526,1.41149,20220526,1.26166
20210527,1.42028,20220529,1.26239
20210530,1.4179,20220530,1.26452
20210531,1.42266,20220531,1.26092
20210601,1.41553,20220601,1.24833
20210602,1.41707,20220602,1.2578
20210603,1.41076,20220605,1.24897
20210606,1.41639,20220606,1.25229
20210607,1.41753,20220607,1.25869
20210608,1.41487,20220608,1.25399
20210609,1.41107,20220609,1.24922
20210610,1.417,20220612,1.22763
20210613,1.41173,20220613,1.21417
20210614,1.4109,20220614,1.20106
20210615,1.40804,20220615,1.21744
20210616,1.39886,20220616,1.23497
20210617,1.39374,20220619,1.22275
20210620,1.38158,20220620,1.22477
20210621,1.39238,20220621,1.22635
20210622,1.39488,20220622,1.22517
20210623,1.39663,20220623,1.22593
20210624,1.39157,20220626,1.22821
20210627,1.38957,20220627,1.22659
20210628,1.38782,20220628,1.21872
20210629,1.38398,20220629,1.21285
20210630,1.38279,20220630,1.21597
20210701,1.37585,20220703,1.20997
20210704,1.3831,20220704,1.2113
20210705,1.38529,20220705,1.19506
20210706,1.38037,20220706,1.19214
20210707,1.37992,20220707,1.20286
20210708,1.37893,20220710,1.20168
20210711,1.38982,20220711,1.18986
20210712,1.38858,20220712,1.18774
20210713,1.38052,20220713,1.18635
20210714,1.38558,20220714,1.18403
20210715,1.38277,20220717,1.18895
20210718,1.37629,20220718,1.19484
20210719,1.36684,20220719,1.20018
20210720,1.3634,20220720,1.19674
20210721,1.37115,20220721,1.19949
20210722,1.37722,20220724,1.19849
20210725,1.37565,20220725,1.20531
20210726,1.38257,20220726,1.2035
20210727,1.38817,20220727,1.21616
20210728,1.39055,20220728,1.21723
20210729,1.39632,20220731,1.21673
20210801,1.3895,20220801,1.22566
20210802,1.38906,20220802,1.21428
20210803,1.39167,20220803,1.21375
20210804,1.38893,20220804,1.21578
20210805,1.3927,20220807,1.20605
20210808,1.38663,20220808,1.20848
20210809,1.38465,20220809,1.2071
20210810,1.3835,20220810,1.22106
20210811,1.38661,20220811,1.21941
20210812,1.38106,20220814,1.21266
20210815,1.38634,20220815,1.20558
20210816,1.38403,20220816,1.2094
20210817,1.37396,20220817,1.20447
20210818,1.37424,20220818,1.19298
20210819,1.36297,20220821,1.18184
20210822,1.3624,20220822,1.17648
20210823,1.37228,20220823,1.18294
20210824,1.37243,20220824,1.17899
20210825,1.37639,20220825,1.18222
20210826,1.36998,20220828,1.1688
20210829,1.37622,20220829,1.17211
20210830,1.37584,20220830,1.16577
20210831,1.37518,20220831,1.15967
20210901,1.37708,20220901,1.15463
20210902,1.38359,20220904,1.14721
20210905,1.38572,20220905,1.15639
20210906,1.38382,20220906,1.15103
20210907,1.37786,20220907,1.15215
20210908,1.37665,20220908,1.15198
20210909,1.3838,20220911,1.16195
20210912,1.38383,20220912,1.16884
20210913,1.3837,20220913,1.15018
20210914,1.38076,20220914,1.15439
20210915,1.38478,20220915,1.14513
20210916,1.37974,20220918,1.14336
20210919,1.3728,20220919,1.14442
20210920,1.36617,20220920,1.13801
20210921,1.36569,20220921,1.12565
20210922,1.36157,20220922,1.12621
20210923,1.37203,20220925,1.07924
20210926,1.36678,20220926,1.07658
20210927,1.37002,20220927,1.07251
20210928,1.35411,20220928,1.08303
20210929,1.34267,20220929,1.11707
20210930,1.34683,20221002,1.11342
20211003,1.35696,20221003,1.13374
20211004,1.36063,20221004,1.14497
20211005,1.36256,20221005,1.13554
20211006,1.35918,20221006,1.11605
20211007,1.36189,20221009,1.10719
20211010,1.36154,20221010,1.10783
20211011,1.35907,20221011,1.09632
20211012,1.35763,20221012,1.11001
20211013,1.3668,20221013,1.13009
20211014,1.36679,20221016,1.12408
20211017,1.37603,20221017,1.1351
20211018,1.37352,20221018,1.13417
20211019,1.3792,20221019,1.12062
20211020,1.38216,20221020,1.1221
20211021,1.37911,20221023,1.13351
20211024,1.37615,20221024,1.13051
20211025,1.3763,20221025,1.14578
20211026,1.37651,20221026,1.16385
20211027,1.37314,20221027,1.15638
20211028,1.37983,20221030,1.15941
20211031,1.3682,20221031,1.14669
20211101,1.3654,20221101,1.14882
20211102,1.36156,20221102,1.1383
20211103,1.36937,20221103,1.11695
20211104,1.35074,20221106,1.13308
20211107,1.34901,20221107,1.15129
20211108,1.35632,20221108,1.15507
20211109,1.35594,20221109,1.13676
20211110,1.34118,20221110,1.16938
20211111,1.33646,20221113,1.17958
20211114,1.3416,20221114,1.17507
20211115,1.34098,20221115,1.18785
20211116,1.34246,20221116,1.19135
20211117,1.34881,20221117,1.18584
20211118,1.34984,20221120,1.18841
20211121,1.34325,20221121,1.18258
20211122,1.3397,20221122,1.1893
20211123,1.33745,20221123,1.20757
20211124,1.33292,20221124,1.21115
20211125,1.33124,20221127,1.20534
20211128,1.33401,20221128,1.19588
20211129,1.33138,20221129,1.19455
20211130,1.32952,20221130,1.20744
20211201,1.32771,20221201,1.22578
20211202,1.32993,20221204,1.2295
20211205,1.32349,20221205,1.21915
20211206,1.32619,20221206,1.21321
20211207,1.32449,20221207,1.22089
20211208,1.32085,20221208,1.22334
20211209,1.32237,20221211,1.22349
20211212,1.32568,20221212,1.22686
20211213,1.32126,20221213,1.2354
20211214,1.32291,20221214,1.24179
20211215,1.32616,20221215,1.21902
20211216,1.3322,20221218,1.2159
20211219,1.32286,20221219,1.21536
20211220,1.32088,20221220,1.21875
20211221,1.32678,20221221,1.20759
20211222,1.33501,20221222,1.20366
20211223,1.34029,20221225,1.20604
20211226,1.34019,20221226,1.20819
20211227,1.34406,20221227,1.20256
20211228,1.34329,20221228,1.20277
20211229,1.34964,20221229,1.20547
20211230,1.34968,20230101,1.20926
20220102,1.35216,20230102,1.20625
20220103,1.3482,20230103,1.19657
20220104,1.35297,20230104,1.20556
20220105,1.35543,20230105,1.19078
20220106,1.35323,20230108,1.21195
20220109,1.3591,20230109,1.21832
20220110,1.35791,20230110,1.21527
20220111,1.36323,20230111,1.21578
20220112,1.37055,20230112,1.22159
20220113,1.37128,20230115,1.22222
20220116,1.36725,20230116,1.22075
20220117,1.3647,20230117,1.22826
20220118,1.35993,20230118,1.23458
20220119,1.36082,20230119,1.23916
20220120,1.35964,20230122,1.24058
20220123,1.35546,20230123,1.23779
20220124,1.34882,20230124,1.23309
20220125,1.35092,20230125,1.24097
20220126,1.34667,20230126,1.24134
20220127,1.33872,20230129,1.23995
20220130,1.34022,20230130,1.23493
20220131,1.34441,20230131,1.23078
20220201,1.35243,20230201,1.23866
20220202,1.35641,20230202,1.22205
20220203,1.35974,20230205,1.20427
20220206,1.35324,20230206,1.20254
20220207,1.35366,20230207,1.20534
20220208,1.35464,20230208,1.20697
20220209,1.35322,20230209,1.2115
20220210,1.3549,20230212,1.20506
20220213,1.35685,20230213,1.21498
20220214,1.35319,20230214,1.21734
20220215,1.35401,20230215,1.20364
20220216,1.35815,20230216,1.19735
20220217,1.36141,20230219,1.20282
20220220,1.35907,20230220,1.20378
20220221,1.35945,20230221,1.21086
20220222,1.35878,20230222,1.20463
20220223,1.35445,20230223,1.20163
20220224,1.33711,20230226,1.19489
20220227,1.33713,20230227,1.20616
20220228,1.34216,20230228,1.20326
20220301,1.33348,20230301,1.20259
20220302,1.33963,20230302,1.19486
20220303,1.335,20230305,1.20269
20220306,1.32111,20230306,1.20244
20220307,1.31127,20230307,1.18264
20220308,1.30981,20230308,1.18486
20220309,1.31843,20230309,1.19223
20220310,1.31018,20230312,1.20747
20220313,1.30491,20230313,1.21662
20220314,1.30095,20230314,1.21501
20220315,1.30437,20230315,1.20669
20220316,1.31397,20230316,1.21089
20220317,1.31582,20230319,1.21864
20220320,1.31589,20230320,1.22731
20220321,1.31687,20230321,1.22242
20220322,1.32656,20230322,1.22768
20220323,1.32049,20230323,1.22801
20220324,1.31936,20230326,1.22444
20220327,1.31727,20230327,1.22959
20220328,1.30986,20230328,1.23298
20220329,1.30924,20230329,1.23097
20220330,1.31369,20230330,1.23865
20220331,1.31451,,
